,time,price
18,2021-04-11 17:00:00+00:00,425.64
19,2021-04-11 18:00:00+00:00,427.86
20,2021-04-11 19:00:00+00:00,427.97
21,2021-04-11 20:00:00+00:00,426.75
22,2021-04-11 21:00:00+00:00,423.72
23,2021-04-11 22:00:00+00:00,421.39
0,2021-04-11 23:00:00+00:00,420.38
1,2021-04-12 00:00:00+00:00,410.98
2,2021-04-12 01:00:00+00:00,409.76
3,2021-04-12 02:00:00+00:00,404.1
4,2021-04-12 03:00:00+00:00,407.74
5,2021-04-12 04:00:00+00:00,410.67
6,2021-04-12 05:00:00+00:00,420.89
