,index,PmP2QAct,PmP2PAct,PL,FedQAct,elspec_PmEAct,PmP2EImportAct,PV,Met_WdSpd,Met_Temp,Met_IrrGloHoztl,Met_IrrPOA,Met_ModTemo,SysBatIAct,SysBatEAct,SysBatSocTotAct,SysBatVAct,SysBatChargingSt,SysBatDischargingSt,date
1673,16730,-3.520859414133531,11.326318913492665,226.54307861328124,5.662799826613416,237.50000002328306,12.500000009313226,94.50000000419095,1.0,13.5,144.0,81.0,0.5,-34.05555555555556,756.777587890625,69.14999771118164,744.0,0.5,0.5833513982224149,2020-10-12 15:50:00
1674,16740,-4.513341303457292,9.591342156393488,226.43565383047425,6.709623098373413,226.25000002328306,11.25,86.87500000465661,1.6666666666666665,13.350000381469727,127.5,72.5,0.5,-13.473684210526319,759.7324951171875,69.42000122070311,744.2800048828125,0.5017361111111112,0.5844352915673098,2020-10-12 16:00:00
1675,16750,-4.784429282977663,14.27475995030896,219.8430206298828,3.874298620661464,213.75,11.875000004656613,68.24999999720603,1.0,13.325000286102297,112.0,25.0,0.5,-8.416666666666664,761.2049560546875,69.55454462224787,744.3714338030132,0.5046296296296297,0.5855191849122047,2020-10-12 16:10:00
1676,16760,-4.652170361643251,13.591570821015727,258.27370249896967,6.33347022304168,250.0000000046566,15.0,50.250000001396984,2.0,13.050000190734863,96.0,23.333333333333332,0.5,-2.0,761.758230403978,69.60510043708646,744.3500061035155,0.5075231481481481,0.5866030782570995,2020-10-12 16:20:00
1677,16770,-4.395234382989113,13.801082709739948,221.05554698338017,9.121907577336389,250.0000000046566,11.874999997671694,40.49999999580905,2.0,12.775000095367432,81.0,20.8,0.5,-3.583333333333333,761.8699060556839,69.61530436301719,744.4000091552736,0.5104166666666666,0.5876869716019943,2020-10-12 16:30:00
1678,16780,-5.213444781714473,12.330229529019059,187.64642162857763,3.301466672016042,180.0,9.375,30.0,2.0,12.5,65.5,17.833333333333332,0.5,-2.9333333333333322,761.98158170739,69.62550828894791,744.3400024414062,0.5133101851851852,0.5887708649468892,2020-10-12 16:40:00
1679,16790,-4.6894244566685,12.554708344595772,212.47954195682135,-0.24530230821775503,198.75,9.375,11.25,1.25,12.233333269755045,24.0,15.0,0.5,-1.5,762.093257359096,69.63571221487864,744.3750076293945,0.5162037037037037,0.5898547582917841,2020-10-12 16:50:00
1680,16800,-4.036016949363376,13.636964383332623,235.5176052963525,-3.586054692397247,257.5000000325963,15.00000000698492,3.75,1.25,11.766666730244955,12.0,11.0,0.5,-3.8,762.2049330108019,69.64591614080936,744.4500122070312,0.5190972222222222,0.5909386516366789,2020-10-12 17:00:00
1681,16810,-4.264404854567153,11.627436712513799,225.6529762833207,-6.884191145768038,252.4999999953434,11.25,2.8125,1.0,11.450000286102295,8.0,7.333333333333333,0.5,3.75,762.2496032714844,69.64999771118165,744.3200073242188,0.5219907407407407,0.5920225449815738,2020-10-12 17:10:00
1682,16820,-1.955314926546195,12.211994138257259,202.78862441588785,-6.888216119546158,203.75000002328306,9.375,0.625,0.7857142857142857,11.40000057220459,3.333333333333333,0.006234413965087282,0.5,0.28571428571428503,762.2496032714844,69.64999771118165,744.3166707356771,0.5248842592592593,0.5931064383264687,2020-10-12 17:20:00
1683,16830,-3.281008625030517,12.524110876280682,225.66765170627178,-8.103283967290603,216.2500000046566,13.125,0.6175075923064628,0.07142857142857151,10.93333371480306,0.04987531172069826,0.0685785536159601,0.5,0.777777777777777,762.2496032714844,69.64999771118165,744.3285784040178,0.5277777777777778,0.5941903316713635,2020-10-12 17:30:00
